學號,原始學院,轉系後學院
41110A001,人文社會科學學院,人文社會科學學院
41110A037,人文社會科學學院,人文社會科學學院
411102027,人文社會科學學院,人文社會科學學院
411196003,原住民民族學院,人文社會科學學院
41103A036,管理學院,人文社會科學學院
41110A009,人文社會科學學院,人文社會科學學院
41117B026,洄瀾學院,人文社會科學學院
41110A019,人文社會科學學院,人文社會科學學院
41103A011,管理學院,人文社會科學學院
41103A050,管理學院,人文社會科學學院
411196005,原住民民族學院,人文社會科學學院
41100A011,人文社會科學學院,人文社會科學學院
41114C001,人文社會科學學院,人文社會科學學院
411085045,花師教育學院,人文社會科學學院
41117B003,洄瀾學院,人文社會科學學院
41107A001,理工學院,人文社會科學學院
410813011,理工學院,人文社會科學學院
41117B021,洄瀾學院,人文社會科學學院
411192001,原住民民族學院,人文社會科學學院
411102018,人文社會科學學院,人文社會科學學院
41110A010,人文社會科學學院,人文社會科學學院
411003038,人文社會科學學院,人文社會科學學院
411012015,理工學院,人文社會科學學院
411111201,理工學院,人文社會科學學院
41117B001,洄瀾學院,人文社會科學學院
41100A071,人文社會科學學院,人文社會科學學院
41110A018,人文社會科學學院,人文社會科學學院
41110A022,人文社會科學學院,人文社會科學學院
411092001,原住民民族學院,人文社會科學學院
410914239,理工學院,人文社會科學學院
410999073,原住民民族學院,花師教育學院
411188028,花師教育學院,花師教育學院
411136020,管理學院,花師教育學院
41117B028,人文社會科學學院,花師教育學院
411121316,理工學院,洄瀾學院
411135034,管理學院,洄瀾學院
41119A015,原住民民族學院,原住民民族學院
411073004,藝術學院,原住民民族學院
410792002,人文社會科學學院,原住民民族學院
41110A015,人文社會科學學院,原住民民族學院
411022016,理工學院,理工學院
411111231,理工學院,理工學院
41117B036,洄瀾學院,理工學院
411025040,理工學院,理工學院
411154023,環境暨海洋學院,理工學院
41117B005,洄瀾學院,理工學院
411014234,理工學院,理工學院
411022052,理工學院,理工學院
410821380,理工學院,理工學院
410921366,理工學院,理工學院
410921367,理工學院,理工學院
410921380,理工學院,理工學院
411012003,理工學院,理工學院
411025020,理工學院,理工學院
411088005,花師教育學院,理工學院
411111203,理工學院,理工學院
411111307,理工學院,理工學院
411121315,理工學院,理工學院
411133060,管理學院,理工學院
411135037,管理學院,理工學院
411135055,管理學院,理工學院
4111213A0,理工學院,理工學院
4111213A3,理工學院,理工學院
411021307,理工學院,理工學院
411121303,理工學院,理工學院
41117B020,洄瀾學院,理工學院
410911224,理工學院,理工學院
410911229,理工學院,理工學院
410911272,理工學院,理工學院
411033037,管理學院,管理學院
411034042,管理學院,管理學院
411035043,管理學院,管理學院
411186002,花師教育學院,管理學院
41110A003,人文社會科學學院,管理學院
41113A001,管理學院,管理學院
411033035,管理學院,管理學院
411033041,管理學院,管理學院
411133043,管理學院,管理學院
41110A024,人文社會科學學院,管理學院
41094F026,人文社會科學學院,管理學院
411083009,人文社會科學學院,管理學院
411133008,管理學院,管理學院
411142012,人文社會科學學院,管理學院
411142033,人文社會科學學院,管理學院
411154005,環境暨海洋學院,管理學院
41100A022,人文社會科學學院,管理學院
41113A013,管理學院,管理學院
41097A013,理工學院,管理學院
411132014,管理學院,管理學院
411132063,管理學院,管理學院
41113A031,管理學院,管理學院
41110A033,人文社會科學學院,管理學院
410986075,花師教育學院,環境暨海洋學院
411113005,理工學院,環境暨海洋學院
41117B017,洄瀾學院,環境暨海洋學院
41117B038,洄瀾學院,環境暨海洋學院
411196002,原住民民族學院,藝術學院
410933052,管理學院,藝術學院
411075023,藝術學院,藝術學院
411085018,花師教育學院,藝術學院
41117B023,洄瀾學院,藝術學院
