學院,當學期系所全名,分組,總計,,,1,,2,,3,,4,,5,,6,,7,,8,,9,
,,,合計,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男
人文社會科學學院,公共行政學系,碩士在職專班,36,16,20,7,10,6,5,1,1,1,1,1,2,,1,,,,,,
,臺灣文化學系,碩士在職專班,4,3,1,3,,,,,1,,,,,,,,,,,,
花師教育學院,幼兒教育學系,碩士在職專班,32,31,1,17,,1,,8,1,2,,3,,,,,,,,,
,教育行政與管理學系,碩士在職專班,111,75,36,20,10,18,11,14,7,11,4,9,3,3,1,,,,,,
,教育與潛能開發學系,教育碩士在職專班,91,71,20,19,7,14,5,14,2,9,3,7,2,8,1,,,,,,
,體育與運動科學系,碩士在職專班,47,26,21,9,7,8,4,7,5,,3,2,1,,1,,,,,,
原住民民族學院,民族發展與社會工作學系(113更名),民族社會工作碩士在職專班,59,42,17,10,3,10,6,7,3,5,3,4,1,6,1,,,,,,
,族群關係與文化學系,碩士在職專班,14,11,3,4,1,2,,2,,1,,,2,2,,,,,,,
理工學院,資訊工程學系,碩士在職專班,2,0,2,,,,,,1,,,,1,,,,,,,,
,電機工程學系,碩士在職專班(103停招),1,0,1,,,,,,,,,,1,,,,,,,,
管理學院,企業管理學系,碩士在職專班,43,27,16,13,4,8,2,1,3,3,3,2,2,,2,,,,,,
,國際企業學系,經營管理碩士在職專班(105新增),11,1,10,,,,,1,5,,,,1,,4,,,,,,
,,碩士在職專班(111停招),3,1,2,,,,,,2,,,1,,,,,,,,,
,管理學院高階經營管理碩士在職專班,碩士在職專班,58,36,22,19,8,11,9,5,3,1,1,,1,,,,,,,,
藝術學院,藝術創意產業學系,碩士在職專班,28,18,10,5,3,3,3,4,1,4,3,1,,1,,,,,,,
,,,7305,3614,3691,903,978,1025,970,723,740,730,705,196,223,36,72,1,3,0,0,0,0
人文社會科學學院,中國語文學系,學士班,169,111,58,26,5,23,13,22,13,23,20,12,6,5,1,,,,,,
,公共行政學系,學士班,154,88,66,20,8,24,14,26,17,18,24,,3,,,,,,,,
,法律學系(108新增),學士班,133,82,51,20,11,22,11,22,12,18,13,,3,,1,,,,,,
,法律學系原住民專班(108新增),學士班,74,45,29,7,8,13,5,13,7,11,5,1,3,,1,,,,,,
,社會學系,學士班,169,102,67,19,20,22,15,26,16,31,13,4,1,,1,,1,,,,
,英美語文學系,學士班,191,109,82,17,15,20,17,21,21,32,13,14,12,4,4,1,,,,,
,華文文學系,學士班,189,133,56,23,8,32,14,31,20,36,9,9,2,2,3,,,,,,
,經濟學系,學士班,216,88,128,11,36,27,29,25,25,23,28,1,8,1,2,,,,,,
,臺灣文化學系,學士班,137,48,89,6,8,14,25,,,,,4,9,,3,,1,,,,
,歷史學系,學士班,229,101,128,18,29,22,31,,,,,10,7,2,4,,,,,,
,諮商與臨床心理學系,學士班,236,164,72,33,25,43,15,,,,,2,5,,1,,,,,,
花師教育學院,幼兒教育學系,學士班,153,97,56,9,18,15,25,,,,,3,2,,,,,,,,
,特殊教育學系,學士班,179,108,71,23,27,26,30,,,,,4,,,,,,,,,
,教育行政與管理學系,學士班,205,146,59,42,11,44,15,,,,,6,2,1,,,,,,,
,教育與潛能開發學系,學士班,175,132,43,35,5,35,6,,,,,6,3,1,,,,,,,
,體育與運動科學系,學士班,177,81,96,30,7,25,7,,,,,1,12,1,7,,,,,,
洄瀾學院,縱谷跨域書院學士學位學程(111新增),學士班,103,61,42,22,20,31,11,,,,,,,,,,,,,,
原住民民族學院,民族社會工作學士學位學程(113停招),學士班,154,102,52,29,11,26,18,,,,,9,5,,,,,,,,
,民族發展與社會工作學系(113更名),民族發展組(113新增),87,24,63,13,28,11,35,,,,,,,,,,,,,,
,,社會工作組(113新增),19,8,11,8,11,,,,,,,,,,,,,,,,
,,學士班(未分組),102,67,35,18,7,20,11,13,5,8,6,6,5,2,1,,,,,,
,民族語言與傳播學系,學士班,157,86,71,15,15,16,16,17,14,24,17,12,7,2,2,,,,,,
,原住民族樂舞與藝術學士學位學程(108新增),學士班,58,36,22,7,2,3,7,11,3,11,6,3,4,1,,,,,,,
,族群關係與文化學系,學士班,123,73,50,12,7,17,12,19,11,20,10,5,9,,1,,,,,,
理工學院,化學系,學士班,199,89,110,17,34,23,19,28,25,18,27,3,5,,,,,,,,
,生化暨分子醫學科學系(113更名),學士班,175,84,91,18,24,26,20,12,23,22,18,5,5,1,1,,,,,,
,光電工程學系,學士班,194,39,155,8,39,11,34,11,40,7,36,2,3,,3,,,,,,
,材料科學與工程學系,學士班,239,84,155,18,38,19,37,26,37,21,33,,3,,7,,,,,,
,物理學系,奈米與光電科學組,88,22,66,5,18,5,18,4,15,8,13,,,,2,,,,,,
,,物理組,140,28,112,7,22,8,22,7,30,4,30,1,4,1,3,,1,,,,
,理工學院大數據科學國際學士班(113新增),學士班,20,13,7,13,7,,,,,,,,,,,,,,,,
,資訊工程學系,國際組,248,71,177,16,53,21,44,17,34,16,35,1,8,,3,,,,,,
,,資工組,340,104,236,22,57,30,67,23,60,24,38,4,9,1,5,,,,,,
,電機工程學系,學士班,264,54,210,11,55,19,51,13,49,9,46,2,6,,3,,,,,,
,應用數學系,統計科學組,123,36,87,6,20,9,18,9,22,10,19,2,6,,2,,,,,,
,,數學科學組,127,28,99,8,24,6,21,6,21,8,22,,10,,1,,,,,,
管理學院,企業管理學系,學士班,241,124,117,22,32,32,22,35,29,32,24,3,6,,4,,,,,,
,財務金融學系,學士班,266,123,143,25,29,32,35,30,36,30,40,5,3,1,,,,,,,
,國際企業學系,學士班,219,138,81,29,19,27,20,34,18,40,16,6,7,2,1,,,,,,
,會計學系,學士班,236,138,98,30,20,33,24,35,23,33,23,7,7,,1,,,,,,
,資訊管理學系,學士班,266,113,153,25,43,29,35,28,39,28,32,3,4,,,,,,,,
,管理學院會計與資訊管理國際學士班(112新),學士班,37,23,14,10,8,13,6,,,,,,,,,,,,,,
,管理學院管理科學與財金國際學士學位學程,學士班,115,63,52,9,14,17,16,19,9,17,10,1,3,,,,,,,,
,管理學院數位行銷與服務創新國際學士班(113新),學士班,12,8,4,8,4,,,,,,,,,,,,,,,,
,觀光暨休閒遊憩學系,學士班,193,111,82,23,20,29,21,26,15,21,20,11,6,1,,,,,,,
環境暨海洋學院,自然資源與環境學系,學士班,215,92,123,20,29,22,25,20,29,23,28,7,10,,2,,,,,,
藝術學院,音樂學系,學士班,79,46,33,9,8,7,4,11,8,13,8,6,3,,2,,,,,,
,藝術創意產業學系,學士班,218,181,37,46,4,42,13,42,5,45,11,5,4,1,,,,,,,
,藝術與設計學系,學士班,227,172,55,35,15,34,16,41,9,46,12,10,3,6,,,,,,,
